Round #	Coordinates	URL	panoId	Country / department / autonomous region	Effective country (streaks)	Hemisphere	Discernible solar azimuth?	Solar azimuth N/S	Discernible shadow direction?	Rift(s)?	Discernible Google car/blur?	Google car description	Discernible camera generation?	Camera generation	Other motor vehicle(s)?	Follow car	License plate(s)?	Discernible driving side?	Driving side	Country driving side	Road material	Road direction?	Curb(s)?	Visible road markings?	Raised pavement marker(s)?	Rumble strips?	Manhole cover(s)?	Storm drains?	Outer road line(s)	Center road line (s)	Utility pole(s)?	Bollards / delineator posts?	Chevron sign(s)?	Chevron sign(s) description	Object marker sign(s)?	Stop sign front?	Stop sign back?	Sign fronts?	Sign backs?	Sign posts?	Guardrail(s)?	Crosswalk?	Crosswalk sign front?	Fire hydrant?	Fence(s)?	Readable domain name(s)?	Domain name(s)	URL with domain name(s)	Area code(s)?	Area code digits	Flag(s)?	Trees/ grass/ vegetation?	Hills/ mountains?	Dirt/ soil?	Water?	Snow?	Buildings/ roofs?	Wall(s)?	Person(s)?	Animal(s)?	Animal(s) description	Writing?	Writing / language / text / scripts on signs etc.	Image capture date	Copyright watermark?	Copyright year	Comments	Challenge link	imageWidth	imageHeight	date_iso	heading	tilt
1	-1.2531139, 36.8713292	https://www.google.com/maps/@-1.2531139,36.8713292,3a,90y,12.67h,90t/data=!3m7!1e1!3m5!1swbCDS9DVfAoz8MU6yD1KzA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3DwbCDS9DVfAoz8MU6yD1KzA%26yaw%3D12.674894!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	wbCDS9DVfAoz8MU6yD1KzA	Kenya	Kenya	Southern	yes	north	yes	no	yes	pickup truck	yes	Gen4	yes	no	yes	yes	left	left	dirt	yes	yes	no	no	no	no	no	None	None	yes	no	no	n/a	no	no	no	yes	yes	no	no	no	no	no	yes	no	n/a	n/a	yes	708, 736	no	yes	no	yes	no	no	yes	yes	yes	no	n/a	yes	"English & Swahili (""PESA"", ""Nunua prepaid tokens hapa"", etc.) "	2021-08-01	yes	2024	Urban Nairobi round, water tanks, no snorkel since it's Gen 4	https://www.geoguessr.com/challenge/BMahKxxbHEjDu4oT	16384	8192	2021-08	12.674894	0.0
2	-3.8075677, -80.5057226	https://www.google.com/maps/@-3.8075677,-80.5057226,3a,90y,223.76h,90.73t/data=!3m7!1e1!3m5!1sfA94fDokEOnJ4E3N2dml5g!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-0.734375%26panoid%3DfA94fDokEOnJ4E3N2dml5g%26yaw%3D223.75931!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	fA94fDokEOnJ4E3N2dml5g	Peru	Peru	Southern	yes	north	yes	no	yes	white sedan, blur	yes	Gen3	no	no	no	no	?	right	dirt	yes	no	no	no	no	no	no	None	None	yes	no	no	n/a	no	no	no	yes	yes	yes	no	no	no	no	yes	no	n/a	n/a	no	n/a	no	yes	yes	yes	no	no	yes	yes	yes	yes	cows	yes	"Spanish (""GOBIERNO REGIONAL"")"	2013-05-01	yes	2024	Cow, Christian church		13312	6656	2013-05	223.75931	-0.734375
3	-28.9006718, 115.5158981	https://www.google.com/maps/@-28.9006718,115.5158981,3a,90y,24.5h,90t/data=!3m7!1e1!3m5!1sIsSxoZXH63tLGRr2at6vXA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3DIsSxoZXH63tLGRr2at6vXA%26yaw%3D24.50426!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	IsSxoZXH63tLGRr2at6vXA	Australia	Australia	Southern	yes	south	yes	no	yes	red sedan, shadow	yes	Gen4	no	no	no	no	?	left	asphalt	yes	no	no	no	no	no	no	None	None	yes	yes	yes	black & white	no	no	no	yes	no	yes	no	no	no	no	yes	no	n/a	n/a	no	n/a	no	yes	no	yes	no	no	yes	no	no	no	n/a	yes	"English (""COALSEAM RD"")"	2023-10-01	yes	2024			16384	8192	2023-10	24.50426	0.0
4	-33.7154021, 149.8648824	https://www.google.com/maps/@-33.7154034,149.8648915,3a,90y,302.97h,90t/data=!3m7!1e1!3m5!1sqp_qcprTqAwz2snulnBqSA!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3Dqp_qcprTqAwz2snulnBqSA%26yaw%3D302.97464!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI1MDgyNC4wIKXMDSoASAFQAw%3D%3D	qp_qcprTqAwz2snulnBqSA	Australia	Australia	Southern	yes	north	no	no	yes	blur	yes	Gen4	yes	no	yes	yes	left	left	asphalt	yes	yes	no	no	no	yes	yes	None	None	yes	no	no	n/a	no	no	no	yes	yes	yes	no	no	no	no	yes	no	n/a	n/a	no	n/a	no	yes	yes	yes	no	no	yes	yes	no	no	n/a	no	n/a	2022-07-01	yes	2022	Bike trail sign		16384	8192	2022-07	302.97464	0.0
5	49.127903, 22.1139604	https://www.google.com/maps/@49.127903,22.1139604,3a,90y,250.78h,90t/data=!3m7!1e1!3m5!1sX4pnlpH-I7uagsryosFVTw!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3DX4pnlpH-I7uagsryosFVTw%26yaw%3D250.78235!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	X4pnlpH-I7uagsryosFVTw	Slovakia	Slovakia	Northern	yes	south	no	no	yes	blue, antenna	yes	Gen4	no	no	no	yes	right	right	asphalt	yes	no	yes	no	no	no	no	Solid white	dashed white	yes	yes	yes	far away, red & white	no	no	no	yes	no	yes	no	no	no	no	yes	no	n/a	n/a	no	n/a	no	yes	yes	yes	no	no	no	no	no	yes	bird on wire	no	n/a	2021-09-01	yes	2022	Mowed grass shoulder		16384	8192	2021-09	250.78235	0.0
1	18.2713317, 98.3969706	https://www.google.com/maps/@18.2713992,98.3969045,3a,15y,167.49h,87.35t/data=!3m7!1e1!3m5!1seDkJuP1vh7TJ290Z0KiS_w!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D2.6487145255181446%26panoid%3DeDkJuP1vh7TJ290Z0KiS_w%26yaw%3D167.48720135143125!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	eDkJuP1vh7TJ290Z0KiS_w	Thailand	Thailand	Northern	yes	north	no	no	yes	blue, not antenna	yes	Gen4	yes	no	no	yes	left	left	asphalt?	yes	no	yes	no	no	no	no	Solid white	yellow	yes	yes	yes	black & yellow	no	no	yes	yes	yes	yes	no	no	no	no	yes	no	n/a	n/a	no	n/a	yes	yes	yes	yes	yes	no	yes	yes	no	no	n/a	yes	Thai abugida, English	2022-07-01	yes	2022	Chevron signs, Thai flags	https://www.geoguessr.com/challenge/j4yL7QIAPhaTRLdG	16384	8192	2022-07	167.48720135143125	2.6487145255181446
2	27.1402933, 90.0708557	https://www.google.com/maps/@27.1402933,90.0708557,3a,90y,118.77h,89.1t/data=!3m7!1e1!3m5!1sQBE8OaNutCxEfNFRe3GSEg!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0.9011200000000059%26panoid%3DQBE8OaNutCxEfNFRe3GSEg%26yaw%3D118.770935!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	QBE8OaNutCxEfNFRe3GSEg	Bhutan	Bhutan	Northern	yes	south	no	no	yes	blur	yes	Gen3	no	no	no	no	?	left	asphalt	yes	yes	no	no	no	no	no	None	None	no	no	no	n/a	no	no	no	yes	yes	yes	yes	no	no	no	no	no	n/a	n/a	no	n/a	no	yes	yes	yes	yes	no	no	yes	no	yes	cows	no	n/a	2013-06-01	yes	2014	Reddish sign, golden tops on bridge crossing		13312	6656	2013-06	118.770935	0.9011200000000059
3	-46.0104902, 168.4564615	https://www.google.com/maps/@-46.0104902,168.4564615,3a,90y,359.7h,92.81t/data=!3m7!1e1!3m5!1sDtJT9gsx57onUZAsVq12dQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-2.8085899999999953%26panoid%3DDtJT9gsx57onUZAsVq12dQ%26yaw%3D359.69635!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	DtJT9gsx57onUZAsVq12dQ	New Zealand	New Zealand	Southern	yes	north	yes	no	yes	blur	yes	Gen4	no	no	no	yes	left	left	asphalt	yes	no	yes	no	no	no	no	None	dotted white	yes	yes	no	n/a	no	no	no	no	yes	yes	no	no	no	no	yes	no	n/a	n/a	no	n/a	no	yes	yes	yes	no	no	yes	yes	no	yes	sheep	no	n/a	2023-09-01	yes	2023	white wood signpost, lots of sheep		16384	8192	2023-09	359.69635	-2.8085899999999953
4	46.5839659, 16.1674828	https://www.google.com/maps/@46.5839659,16.1674828,3a,90y,191.29h,90t/data=!3m7!1e1!3m5!1sAHhNs_0QKTlnrlc-uTnGng!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D0%26panoid%3DAHhNs_0QKTlnrlc-uTnGng%26yaw%3D191.2938!7i16384!8i8192?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	AHhNs_0QKTlnrlc-uTnGng	Slovenia	Slovenia	Northern	yes	south	yes	no	yes	small blur	yes	Gen4	yes	no	yes	yes	right	right	asphalt	yes	no	no	no	no	no	no	None	None	yes	no	no	n/a	no	no	no	yes	yes	yes	no	no	no	yes	yes	no	n/a	n/a	no	n/a	no	yes	no	yes	no	no	yes	yes	no	no	n/a	yes	German on bags	2023-08-01	yes	2023	red fire hydrant		16384	8192	2023-08	191.2938	0.0
5	17.7534623, -64.733313	https://www.google.com/maps/@17.7534623,-64.733313,3a,90y,110.63h,98.21t/data=!3m7!1e1!3m5!1s5YHf22EHlv6tvOaT_RVNUQ!2e0!6shttps:%2F%2Fstreetviewpixels-pa.googleapis.com%2Fv1%2Fthumbnail%3Fcb_client%3Dmaps_sv.tactile%26w%3D900%26h%3D600%26pitch%3D-8.210235999999995%26panoid%3D5YHf22EHlv6tvOaT_RVNUQ%26yaw%3D110.63378!7i13312!8i6656?entry=ttu&g_ep=EgoyMDI0MTEyNC4xIKXMDSoASAFQAw%3D%3D	5YHf22EHlv6tvOaT_RVNUQ	United States Virgin Islands	United States of America	Northern	yes	south	yes	no	yes	red pickup truck with roof rack	yes	Gen3	yes	no	yes	no	?	right	asphalt/gravel?	yes	no	no	no	no	no	no	None	None	yes	no	no	n/a	no	no	no	no	no	no	no	no	no	no	yes	no	n/a	n/a	no	n/a	no	yes	yes	yes	no	no	yes	yes	no	no	n/a	no	n/a	2016-09-01	yes	2017			13312	6656	2016-09	110.63378	-8.210235999999995
